id;tag;question;answer
Бакалавриат;Сроки;Когда начнется подача документов?;1
Бакалавриат;Сроки;Когда завершается подача документов?;2
Бакалавриат;Сроки;Документы подаются по N число включительно?;3
Бакалавриат;Сроки;С какого числа можно заключить договор?;4
Бакалавриат;Сроки;Когда проходят вступительные испытания?;5
Бакалавриат;Сроки;Когда резеврные дни для экзаменов?;6
Бакалавриат;Сроки;Если не успел подать документы на бюджет, когда можно подать на платное?;7
Бакалавриат;Подача документов;Какие документы необходимо подавать?;8
Бакалавриат;Подача документов;Какого формата должны быть фотографии?;9
Бакалавриат;Подача документов;Необходимо подавать копии или оригиналы?;10
Бакалавриат;Подача документов;Абитуриент вне доступа. Можно ли подать документы за него?;11
Бакалавриат;Подача документов;Можно ли подать документы через третье лицо?;12
Бакалавриат;Подача документов;Какими способами можно подать документы?;13
Бакалавриат;Подача документов;Можно ли прислать оригинал курьером или третьим лицом?;14
Бакалавриат;Подача документов;Сколько раз можно отзывать и подавать согласие/оригинал?;15
Бакалавриат;Подача документов;Во сколько вузов можно подать документы?;16
Бакалавриат;Подача документов;На сколько направлений/программ можно подать документы?;17
Бакалавриат;Подача документов;Как отозвать свое заявление?;18
Бакалавриат;Подача документов;Можно ли подать на платное и бюджет одновременно?;19
Бакалавриат;Подача документов;Сколько баллов необходимо для подачи документов?;20
Бакалавриат;Подача документов;Математика нужно базовая или профильная для поступления?;21
Бакалавриат;Подача документов;Можно ли вместо иностранного языка зачесть международный сертификат?;22
Бакалавриат;Программы;Сколько лет необходимо учить на очной/очно-заочной/заочной форамх обучения?;23
Бакалавриат;Программы;Как обучаются на очной/очно-заочной/заочной формах обучения?;24
Бакалавриат;Программы;Можно ли сократить срок обучения?;25
Бакалавриат;Программы;Сколько учатся поступающие после колледжа?;26
Бакалавриат;Программы;Какова стоимость обучения программ?;27
Бакалавриат;Программы;Сколько мест на программе? (бюджет, платное, целевое, особая квота, спец квота);28
Бакалавриат;Программы;Где можно ознакомиться с учебным планом программы?;29
Бакалавриат;Программы;Можно ли пройти практику на очно-заочной и заочной формах обучения?;30
Бакалавриат;Программы;Есть ли отсрочка на очных/очно-заочных/заочных программах?;31
Бакалавриат;Программы;Где проходят практику студенты обучающиеся на N программе?;32
Бакалавриат;Программы;Где и кем смогут работать студенты после обучения данной программы?;33
Бакалавриат;Программы;Сколько языков изучают на N программе?;34
Бакалавриат;Программы;Есть ли второй иностранный? Он платный или бесплатный?;35
Бакалавриат;Программы;На какой территории обучаются студенты?;36
Бакалавриат;Индивидуальные достижения;Какие достижения учитываются при поступлении?;37
Бакалавриат;Индивидуальные достижения;Можно ли получить баллы за волонтерскую книжку?;38
Бакалавриат;Индивидуальные достижения;Получу ли я баллы за ?.. (любая хрень которая придет в голову)?;39
Бакалавриат;Индивидуальные достижения;Учитывается ли предпрофильный экзамен?;40
Бакалавриат;Индивидуальные достижения;Какими документами можно подтвердить ГТО?;41
Бакалавриат;Индивидуальные достижения;Если участник миссии по 2 предметам, сколько баллов можно получить?;42
Бакалавриат;Экзамены;В каком формате проводятся экзамены (по каждой форме обучения)?;43
Бакалавриат;Экзамены;Какие категории поступающих могут сдавать вступительные?;44
Бакалавриат;Экзамены;Можно ли перенести дату вступительных?;45
Бакалавриат;Экзамены;Можно ли комбинировать ЕГЭ и вступительные?;46
Бакалавриат;Экзамены;Если пропустил вступитльные на бюджет, можно ли сдать экзамены на платное?;47
Бакалавриат;Экзамены;Есть ли программа вступительных?;48
Бакалавриат;Экзамены;Есть ли пробное тестирование?;49
Бакалавриат;Экзамены;Где можно посмотреть результаты пробного тестирования?;50
Бакалавриат;Целевое;Есть ли перечень целевых организаций-партнеров?;51
Бакалавриат;Целевое;Какие организации могут заключать целевой договор?;52
Бакалавриат;Целевое;Где посмотреть типовую форму целевого договора?;53
Бакалавриат;Целевое;Помогает ли университет с заключением целевого договора?;54
Бакалавриат;Целевое;Как поступить на целевое?;55
Бакалавриат;Целевое;Как происходит подача документов на целевое?;56
Бакалавриат;Целевое;Есть ли в Финашке квоты для целевого обучения?;57
Бакалавриат;Целевое;Что обязательно должно быть прописано в целевом договоре?;58
Бакалавриат;Целевое;Если не пройду на целевое, можно ли будет участвовать в общем конкурсе?;59
Бакалавриат;Целевое;Можно ли подать и по БВИ и по целевому и по особой квоте одновременно?;60
Бакалавриат;Целевое;Я поступаю по целевому, но не вижу себя в списках? (секретные целевики);61
Бакалавриат;Целевое;Что такое детализация квоты?;62
Бакалавриат;Целевое;Когда на сайте появится информация о целевых местах?;63
Бакалавриат;БВИ;Есть ли ранжирование/конкурс у олимпиадников?;64
Бакалавриат;БВИ;Как подтверждается олимпиада?;65
Бакалавриат;БВИ;Можно ли получить 100 баллов за олимпиаду вместо БВИ?;66
Бакалавриат;БВИ;Нужно ли подтверждать всерос?;67
Бакалавриат;БВИ;Можно ли использовать БВИ в нескольких университетах?;68
Бакалавриат;БВИ;Сколько баллов необходимо получить по другим предметам при поступлении по БВИ?;69
Бакалавриат;БВИ;Сколько лет действуют олимпиады?;70
Бакалавриат;БВИ;За какие классы учитываются олимпиады?;71
Бакалавриат;БВИ;Чем олимпиады из перечня Финуниверса отличаются от олимпиад из перечня Минобра?;72
Бакалавриат;БВИ;Можно ли получить скидку за перечевую олимпиаду?;73
Бакалавриат;Особая квота;Кто может поступать по особой квоте?;74
Бакалавриат;Особая квота;Могут ли дети военнослужащих поступать по особой квоте?;75
Бакалавриат;Особая квота;Справка об инвалидности заканчивается до зачисления (срок действия), можно ли поступать по особой квоте?;76
Бакалавриат;Особая квота;Как расчитывается количество мест для особой квоты?;77
Бакалавриат;Особая квота;Какой документ необходим для детей сирот/детей из числа детей сирот?;78
Бакалавриат;Особая квота;Чем дети сироты отличаются от детей из числа детей сирот?;79
Бакалавриат;Особая квота;Если не получается поступить по особой квоте, можно ли участвовать в общем конкурсе?;80
Бакалавриат;Особая квота;У меня в справке прописана третья степень инвалидности, но я ребенок инвалид с детства, могу ли я поступать по особой квоте?;81
Бакалавриат;Особая квота;Чем преимущественное право отличается от особой квоты?;82
Бакалавриат;Особая квота;Что входит в преимущественное право?;83
Бакалавриат;Специальная квота;Что такое специальная квота?;84
Бакалавриат;Специальная квота;Кто может поступать по специальной квоте?;85
Бакалавриат;Специальная квота;Каким документом подтверждается участие в специальной квоте?;86
Бакалавриат;Специальная квота;Сколько мест выделено для специальной квоты?;87
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
