id;tag;question;answer
Магистратура;Сроки;Когда начнется подача документов?;1
Магистратура;Сроки;Когда завершается подача документов?;2
Магистратура;Сроки;Документы подаются по N число включительно?;3
Магистратура;Сроки;С какого числа можно заключить договор?;4
Магистратура;Сроки;Когда проходят вступительные испытания?;5
Магистратура;Сроки;Когда резеврные дни для экзаменов?;6
Магистратура;Сроки;Если не успел подать документы на бюджет, когда можно подать на платное?;7
Магистратура;Подача документов;Какие документы нужны для подачи заявления на поступление?;8
Магистратура;Подача документов;На сколько направлений и программ можно подать документы?;9
Магистратура;Подача документов;Сколько раз можно отзывать и подавать согласие/оригинал?;10
Магистратура;Подача документов;Какого формата должны быть фотографии?;11
Магистратура;Подача документов;Нужно ли приносить справку 086у для подачи документов?;12
Магистратура;Подача документов;Можно ли подать документы очно?;13
Магистратура;Подача документов;Можно ли подать документы дистанционно?;14
Магистратура;Подача документов;Может ли подать документы родитель абитуриента?;15
Магистратура;Подача документов;Где можно подать документы?;16
Магистратура;Подача документов;Можно ли подать документы без диплома?;17
Магистратура;Подача документов;Нужно ли приносить оригинал диплома?;18
Магистратура;Подача документов;Во сколько вузов можно подать документы?;19
Магистратура;Подача документов;Сколько баллов необходимо для подачи документов?;20
Магистратура;Подача документов;Как отозвать свое заявление?;21
Магистратура;Подача документов;Можно ли прислать оригинал курьером или третьим лицом?;22
Магистратура;Программы;На сколько программ по направлению можно подать документы?;23
Магистратура;Программы;Какие есть программы на N направлении?;24
Магистратура;Программы;Где можно узнать учебный план?;25
Магистратура;Программы;Где можно найти перечень программ магистратуры?;26
Магистратура;Программы;Есть ли программа двух дипломов?;27
Магистратура;Программы;Что такое программа двух дипломов?;28
Магистратура;Программы;Какие есть вузы-партнёры?;29
Магистратура;Программы;Что значит с частичной/полной реализацией на английском языке?;30
Магистратура;Программы;Есть ли новые программы?;31
Магистратура;Программы;Сколько стоит обучение на N программе?;32
Магистратура;Программы;Что такое очная форма обучения?;33
Магистратура;Программы;Что такое очная форма обучения с полным применением ДОТ?;34
Магистратура;Программы;Что такое заочная форма обучения с частичным применением ДОТ?;35
Магистратура;Программы;Что такое заочная форма обучения с полным применением ДОТ?;36
Магистратура;Портфолио;Баллы, начисленные за портфолио, включаются в сумму конкурсных баллов?;37
Магистратура;Портфолио;Где найти перечень индивидуальных достижений поступающих (портфолио) и порядок их учета;38
Магистратура;Портфолио;Даёт ли волонтёрство баллы в портфолио?;39
Магистратура;Портфолио;Сколько максимально баллов можно набрать за портфолио?;40
Магистратура;Портфолио;Если статья не опубликована, можно ли принести справку о публикации?;41
Магистратура;Портфолио;Входит ли опыт работы в портфолио?;42
Магистратура;Портфолио;Место работы должно соответствовать направлению на которое поступаешь?;43
Магистратура;Портфолио;Какие документы принести, чтобы подтвердить публикации в изданиях;44
Магистратура;Портфолио;Если я ИП/самозанятый как подтверждать опыт работы?;45
Магистратура;Вступительные испытания;У Вас указан ?иностранный язык? во вступительных испытаниях, какой именно нужно сдавать?;46
Магистратура;Вступительные испытания;На каком языке проводятся вступительные испытания?;47
Магистратура;Вступительные испытания;Где найти шкалу оценивания и минимальное количество баллов?;48
Магистратура;Вступительные испытания;Есть ли пробные тестирования?;49
Магистратура;Вступительные испытания;Учитываются ли сертификаты GMAT и GRE?;50
Магистратура;Вступительные испытания;Учитываются ли сертификаты IELTS и TOEFL?;51
Магистратура;Вступительные испытания;Должен ли быть сертификат действующим на момент подачи заявления?;52
Магистратура;Вступительные испытания;Какие сертификаты учитываются?;53
Магистратура;Целевое;Что такое целевое поступление?;54
Магистратура;Целевое;"Как найти на сайте раздел ""Целевое поступление""";55
Магистратура;Целевое;Есть ли статистика по баллам?;56
Магистратура;Целевое;Что делать если я не прохожу на целевой конкурс?;57
Магистратура;Целевое;Где найти типовую форму целевого договора?;58
Магистратура;Целевое;Есть ли статистика приема прошлых лет по целевому?;59
Магистратура;Целевое;Насколько подробно нужно указывать в заявлении направления и программы?;60
Магистратура;Целевое;Подписание целевого договора значит, что я точно поступлю на целевое?;61
Магистратура;Целевое;Какие организации могут заключать целевой договор?;62
Магистратура;Целевое;Помогает ли университет с заключением целевого договора?;63
Магистратура;Целевое;Как происходит подача документов на целевое?;64
Магистратура;Целевое;Когда на сайте появится информация о целевых местах?;65
Магистратура;Целевое;Что такое детализация квоты?;66
Магистратура;БВИ;Можно ли поступить по олимпиаде?;67
Магистратура;БВИ;У скидок по олимпиадам в магистратуре приписка: по решению Ученого совета, что это значит?;68
Магистратура;БВИ;Какие олимпиады учитываются при поступлении?;69
Магистратура;БВИ;Сколько баллов можно получить за олимпиаду?;70
Магистратура;БВИ;Что такое БВИ?;71
Магистратура;БВИ;Можли ли поступить по БВИ?;72
Магистратура;Особая квота;Что такое особая квота?;73
Магистратура;Особая квота;Смогу ли я поступать по особой квоте?;74
Магистратура;Особая квота;Кто попадает под эту квоту?;75
Магистратура;Специальная квота;Что такое специальная квота?;76
Магистратура;Специальная квота;Смогу ли я поступать по специальной квоте?;77
Магистратура;Специальная квота;Каким документом подтверждается участие в специальной квоте?;78
Магистратура;Специальная квота;Сколько мест выделено для специальной квоты?;79
Магистратура;Специальная квота;Кто попадает под эту квоту?;80
